,areaName,count,maleArrestPercentages,femaleArrestPercentages,femaleArrestNums,femaleDescentH,femaleDescentW,femaleDescentB,femaleDescentO,femaleDescentA,MostCommonCharge1,Charge1Num,MostCommonCharge2,Charge2Num,MostCommonCharge3,Charge3Num,Num13YearOlds,Num14YearOlds,Num15YearOlds,Num16YearOlds,Num17YearOlds
1,Central,78,71.7948717948718,28.205128205128204,22,12,1,9,0,0,211PC,4,243(A)PC,3,487(A)PC,3,0,4,4,6,7
2,Rampart,113,82.30088495575221,17.699115044247787,20,13,2,5,0,0,245(A)(1)PC,3,422(A)PC,2,243(A)PC,2,1,1,2,5,11
3,Southwest,175,73.71428571428571,26.285714285714285,46,6,2,38,0,0,211PC,19,10851(A)VC,4,245(A)(1)PC,4,8,4,10,14,8
4,Hollenbeck,153,83.66013071895425,16.33986928104575,25,20,3,2,0,0,45.03(A)LAM,3,308(B)PC,3,490.1(A)PC,2,1,2,7,6,9
5,Harbor,98,68.36734693877551,31.63265306122449,31,22,1,8,0,0,242PC,6,45.03ALAMC,3,25662(A)BP,3,5,8,2,10,3
6,Hollywood,53,83.01886792452831,16.9811320754717,9,6,1,2,0,0,243(A)PC,3,11362.3(A)H,1,594(A)(1)PC,1,1,2,0,3,3
7,Wilshire,49,83.6734693877551,16.3265306122449,8,2,1,5,0,0,487(A)PC,2,10851(A)VC,2,245(A)(1)PC,1,1,0,1,3,3
8,West Los Angeles,38,52.63157894736842,47.368421052631575,18,2,3,13,0,0,243(A)PC,6,211PC,4,245(A)(1)PC,2,3,3,4,3,4
9,Van Nuys,41,90.2439024390244,9.75609756097561,4,1,1,2,0,0,245(A)(1)PC,2,243(A)PC,1,148.9(A)PC,1,0,0,1,1,2
10,West Valley,48,89.58333333333334,10.416666666666668,5,3,1,1,0,0,243(A)PC,2,45.03LAMC,1,594(A)(1)PC,1,0,1,1,3,0
11,Northeast,110,79.0909090909091,20.909090909090907,23,19,2,0,2,0,45.03LAMC,3,530.5(A)PC,2,243(A)PC,2,0,2,5,7,9
12,77th St.,232,77.58620689655173,22.413793103448278,52,7,2,42,1,0,211PC,13,10851(A)VC,7,243(A)PC,5,5,7,14,20,6
13,Newton,131,80.1526717557252,19.84732824427481,26,14,0,12,0,0,245(A)(1)PC,3,422(A)PC,3,243(A)PC,3,2,4,9,8,3
14,Pacific,50,68.0,32.0,16,9,0,7,0,0,211PC,3,594(A)(2)PC,2,422(A)PC,2,1,5,4,3,3
15,North Hollywood,44,70.45454545454545,29.545454545454547,13,9,1,3,0,0,487(A)PC,2,45.03LAMC,1,602484PC,1,0,0,3,8,2
16,Foothill,63,82.53968253968253,17.46031746031746,11,9,1,1,0,0,243(A)PC,2,243(B)PC,2,602.5(B)PC,1,3,0,1,3,4
17,Devonshire,141,61.702127659574465,38.297872340425535,54,39,7,3,4,1,490.1(A)PC,14,490.1PC,11,243(A)PC,6,5,7,8,11,22
18,Southeast,159,78.61635220125787,21.38364779874214,34,4,0,30,0,0,211PC,8,10851(A)VC,4,245(A)(1)PC,3,3,1,7,11,12
19,Mission,115,81.73913043478261,18.26086956521739,21,19,1,1,0,0,45.03ALAMC,5,63.44BLAMC,2,484(A)PC,2,0,0,7,9,5
20,Olympic,65,86.15384615384616,13.846153846153847,9,4,0,5,0,0,211PC,3,43.13.2LAMC,1,25658BP,1,0,1,1,4,3
21,Topanga,85,75.29411764705883,24.705882352941178,21,13,4,2,1,0,243(A)PC,4,490.1PC,2,490.1(A)PC,2,1,3,3,4,10
99,Unknown,65,86.15384615384616,13.846153846153847,9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
